identifier,country,city,accent,gender,age,speech_rate,voice,top_p,temperature,repetition_penalty
IND_Delhi_Female_39_Normal,IND,Delhi,India,Female,39,Normal,tara,0.95,0.51,1.26
USA_Los Angeles_Female_53_Fast,USA,Los Angeles,Westcoast US,Female,53,Fast,emma,0.99,0.56,1.37
USA_Chicago_Female_33_Normal,USA,Chicago,Midwest US,Female,33,Normal,tara,0.96,0.55,1.2
USA_Los Angeles_Female_17_Normal,USA,Los Angeles,Westcoast US,Female,17,Normal,tara,0.96,0.57,1.24
USA_Miami_Female_48_Fast,USA,Miami,Latin,Female,48,Fast,tara,0.99,0.52,1.47
USA_Los Angeles_Male_42_Normal,USA,Los Angeles,Westcoast US,Male,42,Normal,josh,0.94,0.69,1.22
USA_Miami_Male_51_Normal,USA,Miami,Latin,Male,51,Normal,dan,0.91,0.61,1.29
USA_New York_Female_46_Fast,USA,New York,Eastcoast US,Female,46,Fast,tara,0.9,0.56,1.46
USA_New York_Female_44_Normal,USA,New York,Eastcoast US,Female,44,Normal,tara,0.98,0.58,1.38
USA_Chicago_Female_44_Slow,USA,Chicago,Midwest US,Female,44,Slow,emma,0.96,0.59,1.12
USA_Dallas_Female_80_Slow,USA,Dallas,South US,Female,80,Slow,tara,0.97,0.62,1.16
USA_New York_Male_26_Normal,USA,New York,Eastcoast US,Male,26,Normal,dan,0.92,0.6,1.1
USA_New York_Male_15_Normal,USA,New York,Eastcoast US,Male,15,Normal,dan,0.91,0.68,1.35
USA_Los Angeles_Male_71_Normal,USA,Los Angeles,Westcoast US,Male,71,Normal,dan,0.9,0.6,1.28
USA_New York_Female_38_Normal,USA,New York,Eastcoast US,Female,38,Normal,emma,0.94,0.7,1.15
USA_Los Angeles_Male_27_Normal,USA,Los Angeles,Westcoast US,Male,27,Normal,dan,0.96,0.67,1.48
USA_Miami_Female_31_Normal,USA,Miami,Latin,Female,31,Normal,emma,0.94,0.54,1.31
USA_New York_Female_34_Fast,USA,New York,Eastcoast US,Female,34,Fast,emma,0.94,0.69,1.2
USA_Los Angeles_Male_30_Slow,USA,Los Angeles,Westcoast US,Male,30,Slow,josh,0.99,0.52,1.3
USA_Los Angeles_Female_32_Normal,USA,Los Angeles,Westcoast US,Female,32,Normal,tara,0.93,0.66,1.37
USA_Chicago_Female_55_Normal,USA,Chicago,Midwest US,Female,55,Normal,emma,0.95,0.58,1.13
USA_Dallas_Female_29_Slow,USA,Dallas,South US,Female,29,Slow,tara,0.98,0.68,1.21
USA_Dallas_Male_21_Normal,USA,Dallas,South US,Male,21,Normal,josh,0.94,0.67,1.42
USA_Los Angeles_Male_20_Slow,USA,Los Angeles,Westcoast US,Male,20,Slow,josh,0.96,0.66,1.28
USA_Miami_Female_71_Slow,USA,Miami,Latin,Female,71,Slow,emma,0.99,0.66,1.32
USA_Los Angeles_Male_21_Fast,USA,Los Angeles,Westcoast US,Male,21,Fast,josh,0.99,0.56,1.27
